,Name
0,Elon Musk
1,Jeff Bezos
2,Bernard Arnault & family
3,Bill Gates
4,Warren Buffett
5,Larry Page
6,Sergey Brin
7,Larry Ellison
8,Steve Ballmer
9,Mukesh Ambani
10,Gautam Adani & family
11,Michael Bloomberg
12,Carlos Slim Helu & family
13,Francoise Bettencourt Meyers & family
14,Mark Zuckerberg
15,Jim Walton
16,Zhong Shanshan
17,Alice Walton
18,Rob Walton
19,Changpeng Zhao
20,Charles Koch
21,Julia Koch & family
22,Amancio Ortega
23,Michael Dell
24,Zhang Yiming
25,David Thomson & family
26,Phil Knight & family
27,Dieter Schwarz
28,Robin Zeng
29,MacKenzie Scott
30,Rodolphe Saadé & family
31,François Pinault & family
32,Klaus-Michael Kuehne
33,Ma Huateng
34,Beate Heister & Karl Albrecht Jr. & family
35,Giovanni Ferrero
36,Li Ka-shing
37,Stephen Schwarzman
38,Lee Shau Kee
39,Len Blavatnik
40,Jacqueline Mars
41,John Mars
42,Alain Wertheimer
43,Gerard Wertheimer
44,German Larrea Mota Velasco & family
45,Gina Rinehart
46,Shiv Nadar
47,Jim Simons
48,He Xiangjian
49,Miriam Adelson
50,Dietrich Mateschitz
51,Leonardo Del Vecchio & family
52,Ken Griffin
53,Tadashi Yanai & family
54,William Lei Ding
55,Susanne Klatten
56,Cyrus Poonawalla
57,Wang Wei
58,Qin Yinglin
59,Sam Bankman-Fried
60,Takemitsu Takizaki
61,Li Shufu
62,Emmanuel Besnier
63,R. Budi Hartono
64,Leonard Lauder
65,Guillaume Pousaz
66,Iris Fontbona & family
67,Jack Ma
68,Michael Hartono
69,Eric Schmidt
70,Ray Dalio
71,Daniel Gilbert
72,"Thomas Frist, Jr. & family"
73,Masayoshi Son
74,Abigail Johnson
75,Rupert Murdoch & family
76,Stefan Quandt
77,Jensen Huang
78,Huang Shilin
79,Thomas Peterffy
80,Radhakishan Damani
81,Pang Kang
82,Wang Chuanfu
83,Reinhold Wuerth & family
84,"Theo Albrecht, Jr. & family"
85,Yang Huiyan & family
86,Vladimir Lisin
87,Fan Hongwei & family
88,Lakshmi Mittal
89,Andrew Forrest
90,Jiang Rensheng & family
91,Savitri Jindal & family
92,Wang Wenyin
93,Li Xiting
94,Stefan Persson
95,Steve Cohen
96,Vladimir Potanin
97,Harold Hamm & family
98,Sun Piaoyang
99,Luo Liguo & family
100,Peter Woo
